Name,District,Type,Description
A W BROWN-FELLOWSHIP LEADERSHIP AC,057816,I,CHARTER SCHOOL DISTRICTS
A+ ACADEMY,057829,I,CHARTER SCHOOL DISTRICTS
ABBOTT ISD,109901,H,RURAL
ABERNATHY ISD,095901,H,RURAL
ABILENE ISD,221901,C,OTHER CENTRAL CITY
ACADEMY FOR ACADEMIC EXCELLENCE,057814,I,CHARTER SCHOOL DISTRICTS
ACADEMY ISD,014901,F,NON-METROPOLITAN FAST GROWING
ACADEMY OF ACCELERATED LEARNING IN,101810,I,CHARTER SCHOOL DISTRICTS
ACADEMY OF CAREERS AND TECHNOLOGIE,015816,I,CHARTER SCHOOL DISTRICTS
ACADEMY OF DALLAS,057810,I,CHARTER SCHOOL DISTRICTS
ACCELERATED INTERMEDIATE ACADEMY,101849,I,CHARTER SCHOOL DISTRICTS
ADRIAN ISD,180903,H,RURAL
ADVANTAGE ACADEMY,057806,I,CHARTER SCHOOL DISTRICTS
AGUA DULCE ISD,178901,H,RURAL
ALAMO HEIGHTS ISD,015901,B,MAJOR SUBURBAN
ALBA-GOLDEN ISD,250906,H,RURAL
ALBANY ISD,209901,H,RURAL
ALDINE ISD,101902,B,MAJOR SUBURBAN
ALEDO ISD,184907,B,MAJOR SUBURBAN
ALICE ISD,125901,E,INDEPENDENT TOWN
ALIEF ISD,101903,B,MAJOR SUBURBAN
ALIEF MONTESSORI COMMUNITY SCHOOL,101815,I,CHARTER SCHOOL DISTRICTS
ALLEN ISD,043901,D,OTHER CENTRAL CITY SUBURBAN
ALPHA CHARTER SCHOOL,057832,I,CHARTER SCHOOL DISTRICTS
ALPINE ISD,022901,G,NON-METROPOLITAN STABLE
ALTO ISD,037901,H,RURAL
ALVARADO ISD,126901,D,OTHER CENTRAL CITY SUBURBAN
ALVIN ISD,020901,B,MAJOR SUBURBAN
ALVORD ISD,249901,H,RURAL
AMARILLO ISD,188901,C,OTHER CENTRAL CITY
AMBASSADORS PREPARATORY ACADEMY,084804,I,CHARTER SCHOOL DISTRICTS
AMHERST ISD,140901,H,RURAL
AMIGOS POR VIDA-FRIENDS FOR LIFE P,101819,I,CHARTER SCHOOL DISTRICTS
ANAHUAC ISD,036901,D,OTHER CENTRAL CITY SUBURBAN
ANDERSON-SHIRO CISD,093901,E,INDEPENDENT TOWN
ANDREWS ISD,002901,D,OTHER CENTRAL CITY SUBURBAN
ANGLETON ISD,020902,D,OTHER CENTRAL CITY SUBURBAN
ANNA ISD,043902,F,NON-METROPOLITAN FAST GROWING
ANSON ISD,127901,H,RURAL
ANTHONY ISD,071906,G,NON-METROPOLITAN STABLE
ANTON ISD,110901,H,RURAL
APPLE SPRINGS ISD,228905,H,RURAL
AQUILLA ISD,109912,H,RURAL
ARANSAS COUNTY ISD,004901,E,INDEPENDENT TOWN
ARANSAS PASS ISD,205901,D,OTHER CENTRAL CITY SUBURBAN
ARCHER CITY ISD,005901,H,RURAL
ARGYLE ISD,061910,D,OTHER CENTRAL CITY SUBURBAN
ARISTOI CLASSICAL ACADEMY,101803,I,CHARTER SCHOOL DISTRICTS
ARLINGTON CLASSICS ACADEMY,220802,I,CHARTER SCHOOL DISTRICTS
ARLINGTON ISD,220901,A,MAJOR URBAN
ARP ISD,212901,G,NON-METROPOLITAN STABLE
ARROW ACADEMY,021805,I,CHARTER SCHOOL DISTRICTS
ASPERMONT ISD,217901,H,RURAL
ATHENS ISD,107901,E,INDEPENDENT TOWN
ATLANTA ISD,034901,E,INDEPENDENT TOWN
AUBREY ISD,061907,D,OTHER CENTRAL CITY SUBURBAN
AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,I,CHARTER SCHOOL DISTRICTS
AUSTIN DISCOVERY SCHOOL,227821,I,CHARTER SCHOOL DISTRICTS
AUSTIN ISD,227901,A,MAJOR URBAN
AUSTWELL-TIVOLI ISD,196901,H,RURAL
AVALON ISD,070901,H,RURAL
AVERY ISD,194902,H,RURAL
AVINGER ISD,034902,H,RURAL
AXTELL ISD,161918,H,RURAL
AZLE ISD,220915,B,MAJOR SUBURBAN
BAIRD ISD,030903,H,RURAL
BALLINGER ISD,200901,G,NON-METROPOLITAN STABLE
BALMORHEA ISD,195902,H,RURAL
BANDERA ISD,010902,B,MAJOR SUBURBAN
BANGS ISD,025901,G,NON-METROPOLITAN STABLE
BANQUETE ISD,178913,G,NON-METROPOLITAN STABLE
BARBERS HILL ISD,036902,D,OTHER CENTRAL CITY SUBURBAN
BARTLETT ISD,014902,H,RURAL
BASIS TEXAS,015834,I,CHARTER SCHOOL DISTRICTS
BASTROP ISD,011901,E,INDEPENDENT TOWN
BAY AREA CHARTER INC,101809,I,CHARTER SCHOOL DISTRICTS
BAY CITY ISD,158901,E,INDEPENDENT TOWN
BEATRICE MAYES INSTITUTE CHARTER S,101847,I,CHARTER SCHOOL DISTRICTS
BEAUMONT ISD,123910,C,OTHER CENTRAL CITY
BECKVILLE ISD,183901,H,RURAL
BEEVILLE ISD,013901,E,INDEPENDENT TOWN
BELLEVUE ISD,039904,H,RURAL
BELLS ISD,091901,H,RURAL
BELLVILLE ISD,008901,E,INDEPENDENT TOWN
BELTON ISD,014903,D,OTHER CENTRAL CITY SUBURBAN
BEN BOLT-PALITO BLANCO ISD,125902,H,RURAL
BENAVIDES ISD,066901,H,RURAL
BENJAMIN ISD,138904,H,RURAL
BEXAR COUNTY ACADEMY,015809,I,CHARTER SCHOOL DISTRICTS
BIG SANDY ISD,187901,H,RURAL
BIG SANDY ISD,230901,H,RURAL
BIG SPRING ISD,114901,E,INDEPENDENT TOWN
BIG SPRINGS CHARTER SCHOOL,193801,I,CHARTER SCHOOL DISTRICTS
BIRDVILLE ISD,220902,B,MAJOR SUBURBAN
BISHOP CISD,178902,G,NON-METROPOLITAN STABLE
BLACKWELL CISD,177903,H,RURAL
BLANCO ISD,016902,G,NON-METROPOLITAN STABLE
BLAND ISD,116915,H,RURAL
BLANKET ISD,025904,H,RURAL
BLOOMBURG ISD,034909,H,RURAL
BLOOMING GROVE ISD,175902,D,OTHER CENTRAL CITY SUBURBAN
BLOOMINGTON ISD,235901,G,NON-METROPOLITAN STABLE
BLUE RIDGE ISD,043917,H,RURAL
BLUFF DALE ISD,072904,H,RURAL
BLUM ISD,109913,H,RURAL
BOB HOPE SCHOOL,123807,I,CHARTER SCHOOL DISTRICTS
BOERNE ISD,130901,B,MAJOR SUBURBAN
BOLES ISD,116916,H,RURAL
BOLING ISD,241901,D,OTHER CENTRAL CITY SUBURBAN
BONHAM ISD,074903,E,INDEPENDENT TOWN
BOOKER ISD,148901,H,RURAL
BORDEN COUNTY ISD,017901,H,RURAL
BORGER ISD,117901,G,NON-METROPOLITAN STABLE
BOSQUEVILLE ISD,161923,H,RURAL
BOVINA ISD,185901,H,RURAL
BOWIE ISD,169901,G,NON-METROPOLITAN STABLE
BOYD ISD,249902,G,NON-METROPOLITAN STABLE
BOYS RANCH ISD,180901,H,RURAL
BRACKETT ISD,136901,H,RURAL
BRADY ISD,160901,G,NON-METROPOLITAN STABLE
BRAZOS ISD,008903,H,RURAL
BRAZOS RIVER CHARTER SCHOOL,213801,I,CHARTER SCHOOL DISTRICTS
BRAZOS SCHOOL FOR INQUIRY & CREATI,021803,I,CHARTER SCHOOL DISTRICTS
BRAZOSPORT ISD,020905,C,OTHER CENTRAL CITY
BRECKENRIDGE ISD,215901,G,NON-METROPOLITAN STABLE
BREMOND ISD,198901,H,RURAL
BRENHAM ISD,239901,E,INDEPENDENT TOWN
BRIDGE CITY ISD,181901,G,NON-METROPOLITAN STABLE
BRIDGEPORT ISD,249903,E,INDEPENDENT TOWN
BRIGHT IDEAS CHARTER,243801,I,CHARTER SCHOOL DISTRICTS
BROADDUS ISD,203902,H,RURAL
BROCK ISD,184909,D,OTHER CENTRAL CITY SUBURBAN
BRONTE ISD,041901,H,RURAL
BROOKELAND ISD,121902,H,RURAL
BROOKESMITH ISD,025908,H,RURAL
BROOKS ACADEMY OF SCIENCE AND ENGI,015830,I,CHARTER SCHOOL DISTRICTS
BROOKS COUNTY ISD,024901,D,OTHER CENTRAL CITY SUBURBAN
BROWNFIELD ISD,223901,G,NON-METROPOLITAN STABLE
BROWNSBORO ISD,107902,D,OTHER CENTRAL CITY SUBURBAN
BROWNSVILLE ISD,031901,C,OTHER CENTRAL CITY
BROWNWOOD ISD,025902,E,INDEPENDENT TOWN
BRUCEVILLE-EDDY ISD,161919,H,RURAL
BRYAN ISD,021902,C,OTHER CENTRAL CITY
BRYSON ISD,119901,H,RURAL
BUCKHOLTS ISD,166907,H,RURAL
BUENA VISTA ISD,186901,H,RURAL
BUFFALO ISD,145901,G,NON-METROPOLITAN STABLE
BULLARD ISD,212902,D,OTHER CENTRAL CITY SUBURBAN
BUNA ISD,121903,G,NON-METROPOLITAN STABLE
BURKBURNETT ISD,243901,D,OTHER CENTRAL CITY SUBURBAN
BURKEVILLE ISD,176901,H,RURAL
BURLESON ISD,126902,C,OTHER CENTRAL CITY
BURNET CISD,027903,D,OTHER CENTRAL CITY SUBURBAN
BURNHAM WOOD CHARTER SCHOOL DISTRI,071801,I,CHARTER SCHOOL DISTRICTS
BURTON ISD,239903,H,RURAL
BUSHLAND ISD,188904,D,OTHER CENTRAL CITY SUBURBAN
BYNUM ISD,109902,H,RURAL
C O R E ACADEMY,101869,I,CHARTER SCHOOL DISTRICTS
CADDO MILLS ISD,116901,G,NON-METROPOLITAN STABLE
CALALLEN ISD,178903,G,NON-METROPOLITAN STABLE
CALDWELL ISD,026901,D,OTHER CENTRAL CITY SUBURBAN
CALHOUN COUNTY ISD,029901,G,NON-METROPOLITAN STABLE
CALLISBURG ISD,049905,G,NON-METROPOLITAN STABLE
CALVERT ISD,198902,H,RURAL
CALVIN NELMS CHARTER SCHOOLS,101837,I,CHARTER SCHOOL DISTRICTS
CAMERON ISD,166901,G,NON-METROPOLITAN STABLE
CAMPBELL ISD,116910,H,RURAL
CANADIAN ISD,106901,F,NON-METROPOLITAN FAST GROWING
CANTON ISD,234902,E,INDEPENDENT TOWN
CANUTILLO ISD,071907,B,MAJOR SUBURBAN
CANYON ISD,191901,C,OTHER CENTRAL CITY
CARLISLE ISD,201913,H,RURAL
CARRIZO SPRINGS CISD,064903,D,OTHER CENTRAL CITY SUBURBAN
CARROLL ISD,220919,B,MAJOR SUBURBAN
CARROLLTON-FARMERS BRANCH ISD,057903,B,MAJOR SUBURBAN
CARTHAGE ISD,183902,G,NON-METROPOLITAN STABLE
CASTLEBERRY ISD,220917,B,MAJOR SUBURBAN
CAYUGA ISD,001902,H,RURAL
CEDAR HILL ISD,057904,B,MAJOR SUBURBAN
CEDARS INTERNATIONAL ACADEMY,227817,I,CHARTER SCHOOL DISTRICTS
CELESTE ISD,116902,H,RURAL
CELINA ISD,043903,G,NON-METROPOLITAN STABLE
CENTER ISD,210901,E,INDEPENDENT TOWN
CENTER POINT ISD,133901,H,RURAL
CENTERVILLE ISD,145902,H,RURAL
CENTERVILLE ISD,228904,H,RURAL
CENTRAL HEIGHTS ISD,174908,F,NON-METROPOLITAN FAST GROWING
CENTRAL ISD,003907,G,NON-METROPOLITAN STABLE
CHANNELVIEW ISD,101905,B,MAJOR SUBURBAN
CHANNING ISD,103901,H,RURAL
CHAPARRAL STAR ACADEMY,227814,I,CHARTER SCHOOL DISTRICTS
CHAPEL HILL ACADEMY,220815,I,CHARTER SCHOOL DISTRICTS
CHAPEL HILL ISD,212909,D,OTHER CENTRAL CITY SUBURBAN
CHAPEL HILL ISD,225906,G,NON-METROPOLITAN STABLE
CHARLOTTE ISD,007901,H,RURAL
CHEROKEE ISD,206903,H,RURAL
CHESTER ISD,229906,H,RURAL
CHICO ISD,249904,H,RURAL
CHILDREN FIRST ACADEMY OF DALLAS,057811,I,CHARTER SCHOOL DISTRICTS
CHILDRESS ISD,038901,G,NON-METROPOLITAN STABLE
CHILLICOTHE ISD,099902,H,RURAL
CHILTON ISD,073901,H,RURAL
CHINA SPRING ISD,161920,D,OTHER CENTRAL CITY SUBURBAN
CHIRENO ISD,174901,H,RURAL
CHISUM ISD,139905,G,NON-METROPOLITAN STABLE
CHRISTOVAL ISD,226901,H,RURAL
CISCO ISD,067902,G,NON-METROPOLITAN STABLE
CITY CENTER HEALTH CAREERS,015832,I,CHARTER SCHOOL DISTRICTS
CITY VIEW ISD,243906,D,OTHER CENTRAL CITY SUBURBAN
CITYSCAPE SCHOOLS,057841,I,CHARTER SCHOOL DISTRICTS
CLARENDON ISD,065901,H,RURAL
CLARKSVILLE ISD,194904,H,RURAL
CLAUDE ISD,006902,H,RURAL
CLEAR CREEK ISD,084910,B,MAJOR SUBURBAN
CLEBURNE ISD,126903,D,OTHER CENTRAL CITY SUBURBAN
CLEVELAND ISD,146901,D,OTHER CENTRAL CITY SUBURBAN
CLIFTON ISD,018901,G,NON-METROPOLITAN STABLE
CLINT ISD,071901,B,MAJOR SUBURBAN
CLYDE CISD,030902,D,OTHER CENTRAL CITY SUBURBAN
COAHOMA ISD,114902,G,NON-METROPOLITAN STABLE
COLDSPRING-OAKHURST CISD,204901,E,INDEPENDENT TOWN
COLEMAN ISD,042901,G,NON-METROPOLITAN STABLE
COLLEGE STATION ISD,021901,C,OTHER CENTRAL CITY
COLLINSVILLE ISD,091902,H,RURAL
COLMESNEIL ISD,229901,H,RURAL
COLORADO ISD,168901,G,NON-METROPOLITAN STABLE
COLUMBIA-BRAZORIA ISD,020907,D,OTHER CENTRAL CITY SUBURBAN
COLUMBUS ISD,045902,G,NON-METROPOLITAN STABLE
COMAL ISD,046902,B,MAJOR SUBURBAN
COMANCHE ISD,047901,G,NON-METROPOLITAN STABLE
COMFORT ISD,130902,E,INDEPENDENT TOWN
COMMERCE ISD,116903,G,NON-METROPOLITAN STABLE
COMMUNITY ISD,043918,G,NON-METROPOLITAN STABLE
COMO-PICKTON CISD,112908,H,RURAL
COMPASS ACADEMY CHARTER SCHOOL,068802,I,CHARTER SCHOOL DISTRICTS
COMQUEST ACADEMY,101842,I,CHARTER SCHOOL DISTRICTS
COMSTOCK ISD,233903,H,RURAL
CONNALLY ISD,161921,D,OTHER CENTRAL CITY SUBURBAN
CONROE ISD,170902,C,OTHER CENTRAL CITY
COOLIDGE ISD,147901,H,RURAL
COOPER ISD,060902,H,RURAL
COPPELL ISD,057922,B,MAJOR SUBURBAN
COPPERAS COVE ISD,050910,D,OTHER CENTRAL CITY SUBURBAN
CORPUS CHRISTI ISD,178904,C,OTHER CENTRAL CITY
CORPUS CHRISTI MONTESSORI SCHOOL,178807,I,CHARTER SCHOOL DISTRICTS
CORRIGAN-CAMDEN ISD,187904,G,NON-METROPOLITAN STABLE
CORSICANA ISD,175903,D,OTHER CENTRAL CITY SUBURBAN
COTTON CENTER ISD,095902,H,RURAL
COTULLA ISD,142901,D,OTHER CENTRAL CITY SUBURBAN
COUPLAND ISD,246914,H,RURAL
COVINGTON ISD,109903,H,RURAL
CRANDALL ISD,129901,B,MAJOR SUBURBAN
CRANE ISD,052901,D,OTHER CENTRAL CITY SUBURBAN
CRANFILLS GAP ISD,018908,H,RURAL
CRAWFORD ISD,161901,H,RURAL
CROCKETT COUNTY CONSOLIDATED CSD,053001,G,NON-METROPOLITAN STABLE
CROCKETT ISD,113901,G,NON-METROPOLITAN STABLE
CROSBY ISD,101906,B,MAJOR SUBURBAN
CROSBYTON CISD,054901,H,RURAL
CROSS PLAINS ISD,030901,H,RURAL
CROSS ROADS ISD,107904,H,RURAL
CROSSTIMBERS ACADEMY,184801,I,CHARTER SCHOOL DISTRICTS
CROWELL ISD,078901,H,RURAL
CROWLEY ISD,220912,B,MAJOR SUBURBAN
CRYSTAL CITY ISD,254901,G,NON-METROPOLITAN STABLE
CUERO ISD,062901,G,NON-METROPOLITAN STABLE
CULBERSON COUNTY-ALLAMOORE ISD,055901,H,RURAL
CUMBERLAND ACADEMY,212801,I,CHARTER SCHOOL DISTRICTS
CUMBY ISD,112905,H,RURAL
CUSHING ISD,174902,H,RURAL
CYPRESS-FAIRBANKS ISD,101907,B,MAJOR SUBURBAN
D'HANIS ISD,163902,H,RURAL
DAINGERFIELD-LONE STAR ISD,172902,G,NON-METROPOLITAN STABLE
DALHART ISD,056901,G,NON-METROPOLITAN STABLE
DALLAS ISD,057905,A,MAJOR URBAN
DAMON ISD,020910,H,RURAL
DANBURY ISD,020904,H,RURAL
DARROUZETT ISD,148905,H,RURAL
DAWSON ISD,058902,H,RURAL
DAWSON ISD,175904,H,RURAL
DAYTON ISD,146902,E,INDEPENDENT TOWN
DE LEON ISD,047902,H,RURAL
DECATUR ISD,249905,E,INDEPENDENT TOWN
DEER PARK ISD,101908,B,MAJOR SUBURBAN
DEKALB ISD,019901,H,RURAL
DEL VALLE ISD,227910,B,MAJOR SUBURBAN
DELL CITY ISD,115903,H,RURAL
DENISON ISD,091903,D,OTHER CENTRAL CITY SUBURBAN
DENTON ISD,061901,C,OTHER CENTRAL CITY
DENVER CITY ISD,251901,G,NON-METROPOLITAN STABLE
DESOTO ISD,057906,B,MAJOR SUBURBAN
DETROIT ISD,194905,H,RURAL
DEVERS ISD,146903,H,RURAL
DEVINE ISD,163901,G,NON-METROPOLITAN STABLE
DEW ISD,081906,H,RURAL
DEWEYVILLE ISD,176903,H,RURAL
DIBOLL ISD,003905,G,NON-METROPOLITAN STABLE
DICKINSON ISD,084901,C,OTHER CENTRAL CITY
DILLEY ISD,082902,G,NON-METROPOLITAN STABLE
DIME BOX ISD,144903,H,RURAL
DIMMITT ISD,035901,D,OTHER CENTRAL CITY SUBURBAN
DIVIDE ISD,133905,H,RURAL
DODD CITY ISD,074904,F,NON-METROPOLITAN FAST GROWING
DONNA ISD,108902,D,OTHER CENTRAL CITY SUBURBAN
DOSS CONSOLIDATED CSD,086024,H,RURAL
DOUGLASS ISD,174911,F,NON-METROPOLITAN FAST GROWING
DR M L GARZA-GONZALEZ CHARTER SCHO,178801,I,CHARTER SCHOOL DISTRICTS
DRAW ACADEMY,101856,I,CHARTER SCHOOL DISTRICTS
DRIPPING SPRINGS ISD,105904,B,MAJOR SUBURBAN
DRISCOLL ISD,178905,H,RURAL
DUBLIN ISD,072902,G,NON-METROPOLITAN STABLE
DUMAS ISD,171901,G,NON-METROPOLITAN STABLE
DUNCANVILLE ISD,057907,B,MAJOR SUBURBAN
EAGLE MT-SAGINAW ISD,220918,B,MAJOR SUBURBAN
EAGLE PASS ISD,159901,D,OTHER CENTRAL CITY SUBURBAN
EANES ISD,227909,B,MAJOR SUBURBAN
EARLY ISD,025909,G,NON-METROPOLITAN STABLE
EAST BERNARD ISD,241902,D,OTHER CENTRAL CITY SUBURBAN
EAST CENTRAL ISD,015911,B,MAJOR SUBURBAN
EAST CHAMBERS ISD,036903,E,INDEPENDENT TOWN
EAST FORT WORTH MONTESSORI ACADEMY,220811,I,CHARTER SCHOOL DISTRICTS
EAST TEXAS CHARTER SCHOOLS,092801,I,CHARTER SCHOOL DISTRICTS
EASTLAND ISD,067903,G,NON-METROPOLITAN STABLE
ECTOR COUNTY ISD,068901,C,OTHER CENTRAL CITY
ECTOR ISD,074905,H,RURAL
EDCOUCH-ELSA ISD,108903,D,OTHER CENTRAL CITY SUBURBAN
EDEN CISD,048901,H,RURAL
EDGEWOOD ISD,015905,B,MAJOR SUBURBAN
EDGEWOOD ISD,234903,G,NON-METROPOLITAN STABLE
EDINBURG CISD,108904,C,OTHER CENTRAL CITY
EDNA ISD,120901,G,NON-METROPOLITAN STABLE
EDUCATION CENTER INTERNATIONAL ACA,057833,I,CHARTER SCHOOL DISTRICTS
EHRHART SCHOOL,123805,I,CHARTER SCHOOL DISTRICTS
EL CAMPO ISD,241903,E,INDEPENDENT TOWN
EL PASO ACADEMY,071804,I,CHARTER SCHOOL DISTRICTS
EL PASO ISD,071902,A,MAJOR URBAN
EL PASO LEADERSHIP ACADEMY,071810,I,CHARTER SCHOOL DISTRICTS
ELEANOR KOLITZ HEBREW LANGUAGE ACA,015836,I,CHARTER SCHOOL DISTRICTS
ELECTRA ISD,243902,H,RURAL
ELGIN ISD,011902,G,NON-METROPOLITAN STABLE
ELKHART ISD,001903,G,NON-METROPOLITAN STABLE
ELYSIAN FIELDS ISD,102906,G,NON-METROPOLITAN STABLE
ENNIS ISD,070903,C,OTHER CENTRAL CITY
ERA ISD,049906,H,RURAL
ERATH EXCELS ACADEMY INC,072802,I,CHARTER SCHOOL DISTRICTS
ETOILE ISD,174910,H,RURAL
EULA ISD,030906,H,RURAL
EUSTACE ISD,107905,G,NON-METROPOLITAN STABLE
EVADALE ISD,121906,H,RURAL
EVANT ISD,050901,E,INDEPENDENT TOWN
EVERMAN ISD,220904,B,MAJOR SUBURBAN
EVOLUTION ACADEMY CHARTER SCHOOL,057834,I,CHARTER SCHOOL DISTRICTS
EXCEL ACADEMY,101811,I,CHARTER SCHOOL DISTRICTS
EXCELLENCE IN LEADERSHIP ACADEMY,108809,I,CHARTER SCHOOL DISTRICTS
EXCELSIOR ISD,210906,H,RURAL
EZZELL ISD,143906,H,RURAL
FABENS ISD,071903,G,NON-METROPOLITAN STABLE
FAIRFIELD ISD,081902,G,NON-METROPOLITAN STABLE
FAITH FAMILY ACADEMY OF OAK CLIFF,057815,I,CHARTER SCHOOL DISTRICTS
FALLBROOK COLLEGE PREPARATORY ACAD,101867,I,CHARTER SCHOOL DISTRICTS
FALLS CITY ISD,128904,H,RURAL
FANNINDEL ISD,060914,H,RURAL
FARMERSVILLE ISD,043904,G,NON-METROPOLITAN STABLE
FARWELL ISD,185902,H,RURAL
FAYETTEVILLE ISD,075906,H,RURAL
FERRIS ISD,070905,B,MAJOR SUBURBAN
FLATONIA ISD,075901,H,RURAL
FLORENCE ISD,246902,G,NON-METROPOLITAN STABLE
FLORESVILLE ISD,247901,E,INDEPENDENT TOWN
FLOUR BLUFF ISD,178914,D,OTHER CENTRAL CITY SUBURBAN
FLOYDADA ISD,077901,H,RURAL
FOCUS LEARNING ACADEMY,057817,I,CHARTER SCHOOL DISTRICTS
FOLLETT ISD,148902,H,RURAL
FORESTBURG ISD,169910,H,RURAL
FORNEY ISD,129902,B,MAJOR SUBURBAN
FORSAN ISD,114904,H,RURAL
FORT BEND ISD,079907,B,MAJOR SUBURBAN
FORT ELLIOTT CISD,242906,H,RURAL
FORT STOCKTON ISD,186902,G,NON-METROPOLITAN STABLE
FORT WORTH ACADEMY OF FINE ARTS,220809,I,CHARTER SCHOOL DISTRICTS
FORT WORTH ISD,220905,A,MAJOR URBAN
FRANKLIN ISD,198903,D,OTHER CENTRAL CITY SUBURBAN
FRANKSTON ISD,001904,H,RURAL
FREDERICKSBURG ISD,086901,E,INDEPENDENT TOWN
FREER ISD,066903,H,RURAL
FRENSHIP ISD,152907,D,OTHER CENTRAL CITY SUBURBAN
FRIENDSWOOD ISD,084911,G,NON-METROPOLITAN STABLE
FRIONA ISD,185903,G,NON-METROPOLITAN STABLE
FRISCO ISD,043905,C,OTHER CENTRAL CITY
FROST ISD,175905,H,RURAL
FRUITVALE ISD,234909,H,RURAL
FT DAVIS ISD,122901,H,RURAL
FT HANCOCK ISD,115901,H,RURAL
FT SAM HOUSTON ISD,015914,G,NON-METROPOLITAN STABLE
GAINESVILLE ISD,049901,E,INDEPENDENT TOWN
GALENA PARK ISD,101910,B,MAJOR SUBURBAN
GALVESTON ISD,084902,C,OTHER CENTRAL CITY
GANADO ISD,120902,H,RURAL
GARLAND ISD,057909,B,MAJOR SUBURBAN
GARNER ISD,184911,H,RURAL
GARRISON ISD,174903,H,RURAL
GARY ISD,183904,H,RURAL
GATESVILLE ISD,050902,D,OTHER CENTRAL CITY SUBURBAN
GATEWAY ACADEMY CHARTER DISTRICT,240801,I,CHARTER SCHOOL DISTRICTS
GATEWAY CHARTER ACADEMY,057831,I,CHARTER SCHOOL DISTRICTS
GAUSE ISD,166902,H,RURAL
GEORGE GERVIN ACADEMY,015802,I,CHARTER SCHOOL DISTRICTS
GEORGE I SANCHEZ CHARTER,101804,I,CHARTER SCHOOL DISTRICTS
GEORGE WEST ISD,149901,G,NON-METROPOLITAN STABLE
